,Trend Direction,Start Date,End Date
128,Bearish,28 Jul 1983,16 Aug 1983
129,Bullish,16 Aug 1983,24 Aug 1983
130,Bearish,24 Aug 1983,31 Aug 1983
131,Bullish,31 Aug 1983,15 Sep 1983
132,Bearish,15 Sep 1983,16 Sep 1983
133,Bullish,16 Sep 1983,30 Sep 1983
134,Bearish,30 Sep 1983,06 Oct 1983
135,Bullish,06 Oct 1983,18 Oct 1983
136,Bearish,18 Oct 1983,28 Oct 1983
137,No Trend,28 Oct 1983,02 Nov 1983
138,Bearish,02 Nov 1983,04 Nov 1983
139,No Trend,04 Nov 1983,07 Nov 1983
140,Bearish,07 Nov 1983,11 Nov 1983
141,Bullish,11 Nov 1983,02 Dec 1983
142,Bearish,02 Dec 1983,27 Dec 1983
143,Bullish,27 Dec 1983,06 Jan 1984
144,No Trend,06 Jan 1984,09 Jan 1984
145,Bullish,09 Jan 1984,20 Jan 1984
146,Bearish,20 Jan 1984,06 Feb 1984
147,No Trend,06 Feb 1984,10 Feb 1984
148,Bearish,10 Feb 1984,13 Feb 1984
149,No Trend,13 Feb 1984,14 Feb 1984
150,Bearish,14 Feb 1984,27 Feb 1984
151,Bullish,27 Feb 1984,07 Mar 1984
152,Bearish,07 Mar 1984,15 Mar 1984
153,Bullish,15 Mar 1984,26 Mar 1984
154,Bearish,26 Mar 1984,28 Mar 1984
155,Bullish,28 Mar 1984,04 Apr 1984
156,Bearish,04 Apr 1984,16 Apr 1984
157,Bullish,16 Apr 1984,11 May 1984
158,Bearish,11 May 1984,21 May 1984
159,No Trend,21 May 1984,01 Jun 1984
160,Bearish,01 Jun 1984,06 Jun 1984
161,Bullish,06 Jun 1984,12 Jun 1984
162,Bearish,12 Jun 1984,20 Jun 1984
163,Bullish,20 Jun 1984,27 Jun 1984
164,Bearish,27 Jun 1984,02 Jul 1984
165,Bullish,02 Jul 1984,06 Jul 1984
166,Bearish,06 Jul 1984,01 Aug 1984
167,Bullish,01 Aug 1984,09 Aug 1984
168,No Trend,09 Aug 1984,15 Aug 1984
169,Bullish,15 Aug 1984,17 Aug 1984
170,No Trend,17 Aug 1984,22 Aug 1984
171,Bullish,22 Aug 1984,05 Sep 1984
172,Bearish,05 Sep 1984,13 Sep 1984
173,Bullish,13 Sep 1984,24 Sep 1984
174,Bearish,24 Sep 1984,15 Oct 1984
175,Bullish,15 Oct 1984,29 Oct 1984
176,Bearish,29 Oct 1984,30 Oct 1984
177,Bullish,30 Oct 1984,13 Nov 1984
178,Bearish,13 Nov 1984,18 Dec 1984
179,Bullish,18 Dec 1984,03 Jan 1985
180,Bearish,03 Jan 1985,10 Jan 1985
181,Bullish,10 Jan 1985,22 Jan 1985
182,No Trend,22 Jan 1985,11 Feb 1985
183,Bullish,11 Feb 1985,22 Feb 1985
184,Bearish,22 Feb 1985,28 Feb 1985
185,Bullish,28 Feb 1985,07 Mar 1985
186,Bearish,07 Mar 1985,27 Mar 1985
187,Bullish,27 Mar 1985,08 Apr 1985
188,Bearish,08 Apr 1985,11 Apr 1985
189,Bullish,11 Apr 1985,30 Apr 1985
190,Bearish,30 Apr 1985,09 May 1985
191,Bullish,09 May 1985,20 May 1985
192,No Trend,20 May 1985,23 May 1985
193,Bullish,23 May 1985,12 Jun 1985
194,Bearish,12 Jun 1985,21 Jun 1985
195,Bullish,21 Jun 1985,24 Jul 1985
196,Bearish,24 Jul 1985,28 Aug 1985
197,Bullish,28 Aug 1985,04 Sep 1985
198,Bearish,04 Sep 1985,09 Sep 1985
199,Bullish,09 Sep 1985,10 Sep 1985
200,Bearish,10 Sep 1985,17 Sep 1985
201,No Trend,17 Sep 1985,19 Sep 1985
202,Bearish,19 Sep 1985,02 Oct 1985
203,Bullish,02 Oct 1985,07 Oct 1985
204,Bearish,07 Oct 1985,11 Oct 1985
205,Bullish,11 Oct 1985,08 Nov 1985
206,No Trend,08 Nov 1985,25 Nov 1985
207,Bullish,25 Nov 1985,27 Nov 1985
208,No Trend,27 Nov 1985,29 Nov 1985
209,Bullish,29 Nov 1985,16 Dec 1985
210,No Trend,16 Dec 1985,17 Dec 1985
211,Bullish,17 Dec 1985,20 Dec 1985
212,No Trend,20 Dec 1985,23 Dec 1985
213,Bullish,23 Dec 1985,09 Jan 1986
214,Bearish,09 Jan 1986,28 Jan 1986
215,Bullish,28 Jan 1986,11 Feb 1986
216,No Trend,11 Feb 1986,19 Feb 1986
217,Bullish,19 Feb 1986,20 Feb 1986
218,No Trend,20 Feb 1986,24 Feb 1986
219,Bullish,24 Feb 1986,27 Feb 1986
220,No Trend,27 Feb 1986,03 Mar 1986
221,Bullish,03 Mar 1986,11 Mar 1986
222,No Trend,11 Mar 1986,13 Mar 1986
223,Bullish,13 Mar 1986,14 Mar 1986
224,No Trend,14 Mar 1986,17 Mar 1986
225,Bullish,17 Mar 1986,03 Apr 1986
226,Bearish,03 Apr 1986,10 Apr 1986
227,Bullish,10 Apr 1986,24 Apr 1986
228,No Trend,24 Apr 1986,28 Apr 1986
229,Bullish,28 Apr 1986,30 Apr 1986
230,Bearish,30 Apr 1986,22 May 1986
231,Bullish,22 May 1986,10 Jun 1986
232,Bearish,10 Jun 1986,13 Jun 1986
233,Bullish,13 Jun 1986,08 Jul 1986
234,Bearish,08 Jul 1986,11 Aug 1986
235,Bullish,11 Aug 1986,15 Aug 1986
236,No Trend,15 Aug 1986,25 Aug 1986
237,Bullish,25 Aug 1986,26 Aug 1986
238,No Trend,26 Aug 1986,02 Sep 1986
239,Bullish,02 Sep 1986,09 Sep 1986
240,Bearish,09 Sep 1986,17 Sep 1986
241,No Trend,17 Sep 1986,18 Sep 1986
242,Bearish,18 Sep 1986,25 Sep 1986
243,No Trend,25 Sep 1986,26 Sep 1986
